時間 [s],Load[kN],荷釁EDIM [N]
165.023157,21.25982285,21259.82285
165.523157,21.21822357,21218.22357
166.023157,21.1766243,21176.6243
166.523157,21.13500595,21135.00595
167.023157,21.09661102,21096.61102
167.523157,21.04219437,21042.19437
168.023157,20.97179413,20971.79413
168.523157,20.90457916,20904.57916
169.023157,20.83417893,20834.17893
169.523157,20.78296661,20782.96661
170.023157,20.74136734,20741.36734
170.523157,20.67415237,20674.15237
171.023157,20.58134079,20581.34079
171.523157,20.51412582,20514.12582
172.023157,20.44372559,20443.72559
172.523157,20.34770966,20347.70966
173.023157,20.24209976,20242.09976
173.523157,20.14608383,20146.08383
174.023157,20.03726959,20037.26959
174.523157,19.89965439,19899.65439
175.023157,19.74924088,19749.24088
175.523157,19.61801529,19618.01529
176.023157,19.45478439,19454.78439
176.523157,19.2115593,19211.5593
177.023157,18.99393082,18993.93082
177.523157,18.7858963,18785.8963
178.023157,18.52666855,18526.66855
178.523157,18.25782776,18257.82776
179.023157,18.02740097,18027.40097
179.523157,17.78097153,17780.97153
180.023157,17.52174377,17521.74377
180.523157,17.20809937,17208.09937
181.023157,16.8976593,16897.6593
181.523157,16.58401489,16584.01489
182.023157,16.27357483,16273.57483
182.523157,15.89271545,15892.71545
183.023157,15.51187515,15511.87515
183.523157,15.17263413,15172.63413
184.023157,14.82057571,14820.57571
184.523157,14.51013565,14510.13565
185.023157,14.22531128,14225.31128
185.523157,13.92446518,13924.46518
186.023157,13.65242004,13652.42004
186.523157,13.38039398,13380.39398
187.023157,13.08595657,13085.95657
187.523157,12.86832809,12868.32809
188.023157,12.66349793,12663.49793
188.523157,12.45866776,12458.66776
189.023157,12.21223831,12212.23831
189.523157,11.95301056,11953.01056
190.023157,11.7417717,11741.7717
190.523157,11.50814056,11508.14056
191.023157,11.12730026,11127.30026
191.523157,10.84245682,10842.45682
192.023157,10.62482834,10624.82834
192.523157,10.35598755,10355.98755
193.023157,10.10955811,10109.55811
193.523157,9.917526245,9917.526245
194.023157,9.715900421,9715.900421
194.523157,9.523887634,9523.887634
195.023157,9.32226181,9322.26181
195.523157,9.127025604,9127.025604
196.023157,8.93819809,8938.19809
196.523157,8.739776611,8739.776611
197.023157,8.557357788,8557.357788
197.523157,8.330116272,8330.116272
198.023157,8.112487793,8112.487793
198.523157,7.910861969,7910.861969
199.023157,7.674045563,7674.045563
199.523157,7.555618286,7555.618286
200.023157,7.459602356,7459.602356
200.523157,7.216377258,7216.377258
201.023157,7.040348053,7040.348053
201.523157,6.87713623,6877.13623
202.023157,6.768321991,6768.321991
202.523157,6.672306061,6672.306061
203.023157,6.608295441,6608.295441
203.523157,6.521892548,6521.892548
204.023157,6.387462616,6387.462616
204.523157,6.304264069,6304.264069
205.023157,6.233844757,6233.844757
205.523157,6.144237518,6144.237518
206.023157,6.022624969,6022.624969
206.523157,5.926609039,5926.609039
207.023157,5.8177948,5817.7948
207.523157,5.692977905,5692.977905
208.023157,5.571365356,5571.365356
208.523157,5.449752808,5449.752808
209.023157,5.382537842,5382.537842
209.523157,5.299320221,5299.320221
210.023157,5.219306946,5219.306946
210.523157,5.161705017,5161.705017
211.023157,5.097694397,5097.694397
211.523157,5.040092468,5040.092468
212.023157,4.972877502,4972.877502
212.523157,4.892864227,4892.864227
213.023157,4.851264954,4851.264954
213.523157,4.80966568,4809.66568
214.023157,4.768047333,4768.047333
214.523157,4.74565506,4745.65506
215.023157,4.729652405,4729.652405
215.523157,4.691238403,4691.238403
216.023157,4.646434784,4646.434784
216.523157,4.595222473,4595.222473
217.023157,4.54082489,4540.82489
217.523157,4.483222961,4483.222961
218.023157,4.419212341,4419.212341
218.523157,4.33599472,4335.99472
219.023157,4.268779755,4268.779755
219.523157,4.159965515,4159.965515
220.023157,4.076766968,4076.766968
220.523157,3.971157074,3971.157074
221.023157,3.875141144,3875.141144
221.523157,3.791923523,3791.923523
222.023157,3.695907593,3695.907593
222.523157,3.603096008,3603.096008
223.023157,3.507080078,3507.080078
223.523157,3.382263184,3382.263184
224.023157,3.27665329,3276.65329
224.523157,3.193454742,3193.454742
225.023157,3.07182312,3071.82312
225.523157,2.963008881,2963.008881
226.023157,2.867012024,2867.012024
226.523157,2.735786438,2735.786438
227.023157,2.636566162,2636.566162
227.523157,2.514953613,2514.953613
228.023157,2.406139374,2406.139374
228.523157,2.310123444,2310.123444
229.023157,2.175712585,2175.712585
229.523157,2.054100037,2054.100037
230.023157,1.961288452,1961.288452
230.523157,1.878070831,1878.070831
231.023157,1.782054901,1782.054901
231.523157,1.670036316,1670.036316
232.023157,1.577224731,1577.224731
232.523157,1.49723053,1497.23053
233.023157,1.417217255,1417.217255
233.523157,1.333999634,1333.999634
234.023157,1.237983704,1237.983704
234.523157,1.129169464,1129.169464
235.023157,1.03635788,1036.35788
235.523157,0.937156677,937.156677
236.023157,0.844345093,844.345093
236.523157,0.735530853,735.530853
237.023157,0.629901886,629.901886
237.523157,0.492286682,492.286682
238.023157,0.245857239,245.857239
238.523157,0.02822876,28.22876
239.023157,0.044231415,44.231415
